SNP,CHR,Gene,Functional Consequence
rs11632061,15,CCDC32,"genic_downstream_transcript_variant,intron_variant"
rs6902650,6,USP49,"genic_downstream_transcript_variant,3_prime_UTR_variant"
rs2959536,15,"CCDC32,MRPL42P5","genic_downstream_transcript_variant,upstream_transcript_variant,intron_variant"
rs1276289,11,MMP27,"coding_sequence_variant,synonymous_variant"
rs6492947,15,CHST14,upstream_transcript_variant
rs1276286,11,MMP27,"coding_sequence_variant,missense_variant"
rs924914,3,NONE,
rs4925355,20,MTG2,intron_variant
rs2184157,20,MTG2,3_prime_UTR_variant
rs1869302,15,NONE,
rs7326,12,IPO8,"genic_downstream_transcript_variant,3_prime_UTR_variant"
rs1739591,20,MTG2,intron_variant
rs3794153,11,DENND2B,"missense_variant,non_coding_transcript_variant,coding_sequence_variant,intron_variant"
rs267218,3,LIMD1,upstream_transcript_variant
rs1056837,2,CYP1B1,"missense_variant,coding_sequence_variant,synonymous_variant"
rs2184161,20,MTG2,3_prime_UTR_variant
rs11951461,5,SCAMP1,intron_variant
rs2412531,15,CCDC32,"genic_downstream_transcript_variant,intron_variant"
rs2855658,2,"CYP1B1,RMDN2",3_prime_UTR_variant
rs1050382,17,PECAM1,"genic_downstream_transcript_variant,3_prime_UTR_variant"
rs1050674,5,LHFPL2,"genic_downstream_transcript_variant,3_prime_UTR_variant"
rs309559,5,"VCAN,VCAN-AS1","coding_sequence_variant,missense_variant,intron_variant"
rs3809972,18,ALPK2,"coding_sequence_variant,missense_variant"
rs11070275,15,NONE,
rs3809973,18,ALPK2,"coding_sequence_variant,missense_variant"
rs4082413,12,IPO8,"genic_downstream_transcript_variant,3_prime_UTR_variant"
rs14139,12,IPO8,"genic_downstream_transcript_variant,3_prime_UTR_variant"
rs9853624,3,NONE,
rs7236563,18,ALPK2,"synonymous_variant,coding_sequence_variant"
rs3091929,20,NONE,
rs1445111,3,NEK10,"intron_variant,genic_downstream_transcript_variant"
rs2425700,20,NONE,
rs836559,7,DAGLB,3_prime_UTR_variant
rs309557,5,"VCAN,VCAN-AS1","coding_sequence_variant,intron_variant,synonymous_variant"
rs160279,5,"VCAN,VCAN-AS1","coding_sequence_variant,missense_variant,intron_variant,synonymous_variant"
