SNP,CHR,Gene,Functional Consequence
rs11632061,15,CCDC32,"genic_downstream_transcript_variant,intron_variant"
rs2959536,15,"CCDC32,MRPL42P5","genic_downstream_transcript_variant,upstream_transcript_variant,intron_variant"
rs1869302,15,NONE,
rs745961,19,CEP89,"terminator_codon_variant,genic_downstream_transcript_variant,stop_lost,non_coding_transc"
rs11070275,15,NONE,
rs6492947,15,CHST14,upstream_transcript_variant
rs1003250,6,KCTD20,intron_variant
rs1792666,18,SMAD2,"3_prime_UTR_variant,genic_downstream_transcript_variant"
rs6902650,6,USP49,"genic_downstream_transcript_variant,3_prime_UTR_variant"
rs4925355,20,MTG2,intron_variant
rs1276289,11,MMP27,"coding_sequence_variant,synonymous_variant"
rs3809973,18,ALPK2,"coding_sequence_variant,missense_variant"
rs10888394,1,NONE,
rs1445111,3,NEK10,"intron_variant,genic_downstream_transcript_variant"
rs1056837,2,CYP1B1,"missense_variant,coding_sequence_variant,synonymous_variant"
rs1868102,2,NONE,
rs187034,5,KCTD16,"genic_downstream_transcript_variant,3_prime_UTR_variant"
rs349704,5,KCTD16,"genic_downstream_transcript_variant,3_prime_UTR_variant"
rs349700,5,KCTD16,"genic_downstream_transcript_variant,3_prime_UTR_variant"
rs3091929,20,NONE,
rs349703,5,KCTD16,"genic_downstream_transcript_variant,3_prime_UTR_variant"
rs4780917,16,ATF7IP2,"intron_variant,upstream_transcript_variant,genic_upstream_transcript_variant"
rs11653310,17,SNHG30,upstream_transcript_variant
rs2425700,20,NONE,
rs11129270,3,"NEK10,LOC105377004","genic_downstream_transcript_variant,intron_variant,5_prime_UTR_variant,upstream_transcript_variant"
rs2370946,3,"NEK10,LOC105377004","intron_variant,genic_upstream_transcript_variant,genic_downstream_transcript_variant"
rs2855658,2,"CYP1B1,RMDN2",3_prime_UTR_variant
rs1051344,12,TSPAN8,3_prime_UTR_variant
rs9853624,3,NONE,
rs11080357,17,"SNORD7,SNHG30","upstream_transcript_variant,intron_variant"
rs924914,3,NONE,
rs7236563,18,ALPK2,"synonymous_variant,coding_sequence_variant"
rs3794153,11,DENND2B,"missense_variant,non_coding_transcript_variant,coding_sequence_variant,intron_variant"
rs13193217,6,CPNE5,"genic_downstream_transcript_variant,intron_variant"
rs309557,5,"VCAN,VCAN-AS1","coding_sequence_variant,intron_variant,synonymous_variant"
rs160279,5,"VCAN,VCAN-AS1","coding_sequence_variant,missense_variant,intron_variant,synonymous_variant"
rs13066873,3,NONE,
rs1129463,17,GAS7,3_prime_UTR_variant
rs2673062,3,SACM1L,intron_variant
rs309559,5,"VCAN,VCAN-AS1","coding_sequence_variant,missense_variant,intron_variant"
rs4668,17,GAS7,3_prime_UTR_variant
rs8069970,17,NONE,
rs6032346,20,WFDC8,upstream_transcript_variant
rs11951461,5,SCAMP1,intron_variant
rs2243379,6,ROS1,intron_variant
rs12107527,3,CCR8,upstream_transcript_variant
rs7550056,1,MACF1,intron_variant
rs1047339,17,GAS7,3_prime_UTR_variant
rs902,1,TGFBR3,"downstream_transcript_variant,genic_downstream_transcript_variant,non_coding_transcript_variant,3_prime_UTR_variant"
rs1122800,17,NONE,
rs1321172,1,PDE4B,"genic_upstream_transcript_variant,intron_variant"
rs14139,12,IPO8,"genic_downstream_transcript_variant,3_prime_UTR_variant"
rs10493703,1,ADGRL2,intron_variant
rs7326,12,IPO8,"genic_downstream_transcript_variant,3_prime_UTR_variant"
rs6065836,20,WFDC8,intron_variant
rs2184161,20,MTG2,3_prime_UTR_variant
rs4140388,4,"ADH4,LOC100507053","intron_variant,upstream_transcript_variant"
rs1016752,3,ABCC5,"genic_downstream_transcript_variant,intron_variant"
rs2279665,12,TIMELESS,"coding_sequence_variant,non_coding_transcript_variant,synonymous_variant"
rs12153,8,CLDN23,3_prime_UTR_variant
